Dataset,Model,class_ent,eq_num_attr,gravity,inst_to_attr,nr_attr,nr_bin,nr_class,nr_cor_attr,nr_inst,nr_norm,nr_outliers,ns_ratio,Processing Units Number,Training Operations,Prediction Operations,Active Regularization Mechanisms,Robust to Outliers,MCC
5G_Slicing,AdaBoost,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,5.703782474656201,20.794189895823358,4.605170185988092,0,0,1.0
5G_Slicing,Bagging,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,17.65869460863111,23.036614050052464,6.847594340217194,0,2,1.0
5G_Slicing,BernoulliNB,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,4.276666119016055,16.189019709835268,3.1354942159291497,1,0,0.8753731841283968
5G_Slicing,DNN,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,4.02535169073515,17.078877184641268,4.02535169073515,1,0,1.0
5G_Slicing,DT,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,13.746671603202964,19.124591044624317,2.935571334789048,0,2,1.0
5G_Slicing,ExtraTree,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,13.746671603202964,19.124591044624317,2.935571334789048,0,2,1.0
5G_Slicing,FT-Transformer,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,5.950642552587727,19.004168046493845,5.950642552587727,1,0,1.0
5G_Slicing,GaussianNB,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,4.948759890378168,16.189019709835268,3.1354942159291497,0,0,0.7625032652257198
5G_Slicing,KNN,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,5.53338948872752,16.189019709835268,16.189019709835268,0,0,1.0
5G_Slicing,LDA,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,5.84354441703136,19.324513925764418,3.1354942159291497,0,0,1.0
5G_Slicing,LR,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,4.276666119016055,16.189019709835268,3.1354942159291497,0,0,1.0
5G_Slicing,LightGBM_ExtraTrees,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,9.433483923290392,23.729761230612407,6.907755278982137,0,2,1.0
5G_Slicing,LightGBM_RF,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,9.433483923290392,23.729761230612407,6.907755278982137,0,2,1.0
5G_Slicing,LinearSVC,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,4.276666119016055,16.189019709835268,3.1354942159291497,1,0,1.0
5G_Slicing,MLP,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,4.605170185988092,17.65869567989421,4.605170185988092,1,0,1.0
5G_Slicing,PassiveAggressive,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,4.276666119016055,16.189019709835268,3.1354942159291497,1,1,1.0
5G_Slicing,Perceptron,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,4.276666119016055,16.189019709835268,3.1354942159291497,1,1,1.0
5G_Slicing,QDA,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,6.799055862058796,19.324513925764418,6.270988431858299,1,0,1.0
5G_Slicing,Ridge,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,4.276666119016055,19.324513925764418,3.1354942159291497,1,0,1.0
5G_Slicing,SGD,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,4.276666119016055,16.189019709835268,3.1354942159291497,1,1,1.0
5G_Slicing,TabICL,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,17.131595050277248,16.189019709835268,16.189019709835268,0,1,1.0
5G_Slicing,TabNet,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,4.852030263919617,17.905555757825734,4.852030263919617,1,1,1.0
5G_Slicing,TabPFN,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,17.788687814342346,16.189019709835268,16.189019709835268,0,1,1.0
5G_Slicing,TabTransformer,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,4.927253685157205,17.980779179063322,4.927253685157205,1,0,1.0
5G_Slicing,XGBoost,1.5436456851468592,8.714258368011482,1.6055471885243442,20293.0,23,20,3,0.0434782608695652,466739,16.0,14,4.640249830809991,9.449357272446683,23.729761230612407,6.396929655216146,0,1,1.0
ASNM-CDX-2009,AdaBoost,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,5.0106352940962555,19.362720895653016,3.912023005428146,0,0,0.854941573661119
ASNM-CDX-2009,Bagging,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,13.26568419684855,21.88803790200929,6.4373400117844195,0,2,0.854941573661119
ASNM-CDX-2009,BernoulliNB,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,7.484368643286131,15.450697890224872,6.790097235513905,1,0,0.1850627609327673
ASNM-CDX-2009,DNN,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,4.02535169073515,12.685952345446116,4.02535169073515,1,0,0.0234542111863979
ASNM-CDX-2009,DT,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,9.353661191420406,17.976014896581145,2.5253170063562735,0,2,0.8387754431168755
ASNM-CDX-2009,ExtraTree,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,9.353661191420406,17.976014896581145,2.5253170063562735,0,2,0.7735015953575879
ASNM-CDX-2009,FT-Transformer,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,5.545177444479562,14.205778099190528,5.545177444479562,2,0,0.2124232170143914
ASNM-CDX-2009,GaussianNB,0.0645960196718355,8.569846299866542,69479128195.3121,6.491563554555681,889,101,2,0.0665617811287102,5771,32.0,835,285.0146348038438,8.17695386822578,15.450697890224872,6.790097235513905,0,0,0.0362643813651307
